 #                                                                                ref per =   0.0 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
   117   1171771.6     3561.64     6391.35     6391.35     4785.80     4785.80     1.00000        0.00        0.00
   118   1182050.3     3560.55     6387.68     6387.68     4784.66     4784.66     1.00000        0.00        0.00
   119   1192329.0     3559.45     6383.98     6383.98     4783.50     4783.50     1.00000        0.00        0.00
   120   1202607.7     3558.34     6380.25     6380.25     4782.34     4782.34     1.00000        0.00        0.00
   121   1212886.4     3557.23     6376.49     6376.49     4781.17     4781.17     1.00000        0.00        0.00
   122   1223165.1     3556.10     6372.71     6372.71     4779.99     4779.99     1.00000        0.00        0.00
   123   1233443.8     3554.97     6368.89     6368.89     4778.80     4778.80     1.00000        0.00        0.00
   124   1243722.5     3553.83     6365.03     6365.03     4777.60     4777.60     1.00000        0.00        0.00
   125   1254001.2     3552.68     6361.15     6361.15     4776.39     4776.39     1.00000        0.00        0.00
   126   1264279.9     3551.52     6357.24     6357.24     4775.17     4775.17     1.00000        0.00        0.00
   127   1274558.6     3550.35     6353.29     6353.29     4773.94     4773.94     1.00000        0.00        0.00
   128   1284837.3     3549.18     6349.31     6349.31     4772.70     4772.70     1.00000        0.00        0.00
   129   1295116.0     3547.99     6345.30     6345.30     4771.45     4771.45     1.00000        0.00        0.00
   130   1305394.7     3546.79     6341.25     6341.25     4770.19     4770.19     1.00000        0.00        0.00
   131   1315673.4     3545.59     6337.17     6337.17     4768.92     4768.92     1.00000        0.00        0.00
   132   1325952.1     3544.37     6333.05     6333.05     4767.64     4767.64     1.00000        0.00        0.00
   133   1336230.8     3543.15     6328.90     6328.90     4766.35     4766.35     1.00000        0.00        0.00
   134   1346509.5     3541.91     6324.71     6324.71     4765.05     4765.05     1.00000        0.00        0.00
   135   1356788.2     3540.67     6320.49     6320.49     4763.74     4763.74     1.00000        0.00        0.00
   136   1367066.9     3539.41     6316.23     6316.23     4762.42     4762.42     1.00000        0.00        0.00
   137   1377345.6     3538.15     6311.93     6311.93     4761.08     4761.08     1.00000        0.00        0.00
   138   1387624.3     3536.87     6307.59     6307.59     4759.74     4759.74     1.00000        0.00        0.00
   139   1397903.0     3535.59     6303.21     6303.21     4758.38     4758.38     1.00000        0.00        0.00
   140   1408181.7     3534.29     6298.79     6298.79     4757.01     4757.01     1.00000        0.00        0.00
   141   1418460.4     3532.98     6294.34     6294.34     4755.63     4755.63     1.00000        0.00        0.00
   142   1428739.1     3531.66     6289.84     6289.84     4754.24     4754.24     1.00000        0.00        0.00
   143   1439017.8     3530.33     6285.30     6285.30     4752.83     4752.83     1.00000        0.00        0.00
   144   1449296.4     3528.99     6280.72     6280.72     4751.41     4751.41     1.00000        0.00        0.00
   145   1459575.1     3527.63     6276.09     6276.09     4749.98     4749.98     1.00000        0.00        0.00
   146   1469853.9     3526.26     6271.43     6271.43     4748.54     4748.54     1.00000        0.00        0.00
   147   1480132.5     3524.89     6266.71     6266.71     4747.08     4747.08     1.00000        0.00        0.00
   148   1490411.2     3523.50     6261.96     6261.96     4745.61     4745.61     1.00000        0.00        0.00
   149   1500689.9     3522.09     6257.15     6257.15     4744.12     4744.12     1.00000        0.00        0.00
   150   1510968.6     3520.68     6252.30     6252.30     4742.63     4742.63     1.00000        0.00        0.00
   151   1521247.3     3519.25     6247.40     6247.40     4741.11     4741.11     1.00000        0.00        0.00
   152   1531526.0     3517.80     6242.46     6242.46     4739.59     4739.59     1.00000        0.00        0.00
   153   1541804.7     3516.35     6237.46     6237.46     4738.05     4738.05     1.00000        0.00        0.00
   154   1552083.4     3514.88     6232.41     6232.41     4736.49     4736.49     1.00000        0.00        0.00
   155   1562362.1     3513.40     6227.31     6227.31     4734.92     4734.92     1.00000        0.00        0.00
   156   1572640.8     3511.90     6222.17     6222.17     4733.34     4733.34     1.00000        0.00        0.00
   157   1582919.5     3510.39     6216.96     6216.96     4731.73     4731.73     1.00000        0.00        0.00
   158   1593198.2     3508.86     6211.71     6211.71     4730.12     4730.12     1.00000        0.00        0.00
   159   1603476.9     3507.32     6206.39     6206.39     4728.48     4728.48     1.00000        0.00        0.00
   160   1613755.6     3505.76     6201.02     6201.02     4726.83     4726.83     1.00000        0.00        0.00
   161   1624034.3     3504.19     6195.60     6195.60     4725.17     4725.17     1.00000        0.00        0.00
   162   1634313.0     3502.61     6190.12     6190.12     4723.48     4723.48     1.00000        0.00        0.00
   163   1644591.7     3501.00     6184.57     6184.57     4721.78     4721.78     1.00000        0.00        0.00
   164   1654870.4     3499.38     6178.97     6178.97     4720.06     4720.06     1.00000        0.00        0.00
   165   1665149.1     3497.75     6173.31     6173.31     4718.33     4718.33     1.00000        0.00        0.00
   166   1675427.8     3496.10     6167.58     6167.58     4716.57     4716.57     1.00000        0.00        0.00
   167   1685706.5     3494.43     6161.81     6161.81     4714.80     4714.80     1.00000        0.00        0.00
